sku;keyword;sessions;users;impressions;clicks;detail;add_from_impressions;add_from_detail;avail_01;avail_02
233629;зеркало;122;109;152;1;1;0;0;1000.0, 1000;3000.0, 3000
233032;саморез;585;539;794;7;6;8;4;;5000.0, 5000
233276;саморе;219;198;330;0;0;0;0;;
470682;стяжка пола;325;228;473;0;0;0;0;1000.0, 1000;
46578;фильтр;620;518;840;5;6;1;1;;
125617;ламинат tarkett;165;112;283;3;3;0;0;;
463004;ламинат;1023;938;1149;2;2;0;0;;
471477;ввг 3*4;34;4;43;0;0;0;0;;
453243;блок;553;398;817;0;0;0;0;7000.0, 7000;
127473;грунт-эмаль;265;224;398;1;2;1;0;;
489259;ванна акриловая;234;186;442;2;2;0;0;;
119684;ленолиум;123;102;194;0;0;0;0;;
2657;краска;5117;4158;7255;19;22;3;1;;
369959;пф-115;408;349;634;0;0;0;0;;
24326;кладочная сетка;203;147;290;6;6;5;2;;
481117;смеситель;1260;1094;1495;7;4;0;0;;
233186;саморезы;2770;2326;3769;9;10;1;0;;
454921;технониколь;3272;2619;4319;0;0;0;0;;
37301;ceresit;467;389;539;2;2;0;0;;
91252;порожек;75;61;90;0;0;0;0;;
165820;унитаз;545;482;678;0;0;1;0;;
20876;маркер;816;611;1158;94;29;9;2;;
159855;краска марта;359;287;512;0;0;0;0;;
476268;унитаз;2677;2074;4358;17;18;0;0;;
468464;труба;633;591;738;2;2;0;0;;
50659;стремянка;4116;2753;6990;53;60;2;2;;
52440;сверло по металлу;602;516;859;2;2;6;0;;
447621;направляющая;264;222;346;0;0;0;0;;
454609;желоб водосточный;323;228;617;3;3;0;0;;
209057;лента;313;287;358;0;0;0;0;;
78682;пена;7330;5645;11083;65;66;18;7;;
454540;антисептик;2151;1520;3504;1;1;0;0;;
70220;кварц винил;324;233;546;1;1;0;0;;
246994;трубка;236;214;296;0;0;0;0;;
11180;краска по металлу;975;778;1520;9;13;2;0;;
64161;огнезащита;190;153;330;10;11;0;1;;
148924;отражающая теплоизоляция;402;285;762;12;13;4;1;;
78684;кабель алюминевый;13;3;15;0;0;0;0;;
241880;мыло;451;239;763;0;0;0;0;;
70393;линолеум;45;42;71;0;0;0;0;;
465855;радиаторы;669;456;1201;3;4;4;0;;
74173;крепление;154;150;164;0;0;0;0;;
66579;гайка м8;197;164;296;2;2;0;0;;
391702;плинтус;296;277;332;0;0;0;0;;
11180;краска;6178;5073;8607;16;15;4;5;;
112230;раковина;277;255;335;0;0;0;0;;
21270;порожек;165;150;298;2;2;0;0;;
51382;саморезы по дереву;140;117;192;0;0;0;0;;
4294;стекло;644;556;804;6;6;0;0;;
23446;грунтовка;12824;9335;19672;64;63;9;7;;
41146;труба;117;115;122;0;0;0;0;;
148938;отражающая изоляция;222;156;461;5;5;0;0;;
12683;цемент;1562;1324;2081;1;1;0;0;;
247306;grohe;200;164;290;0;0;0;0;;
28044;цоколь;169;151;220;0;0;0;0;;
62091;линолеум;231;207;272;0;0;0;0;;
181534;щетка;73;69;81;0;0;0;0;;
448933;труба;395;342;510;0;0;0;0;;
15167;краска по металлу;155;129;236;0;0;0;0;;
159841;кисти;412;356;674;0;0;0;0;;
172420;штукатурка;1119;940;1582;0;0;0;0;;
148935;утеплитель;1190;974;1648;5;5;1;5;;
109781;плитка;430;394;512;0;0;0;0;;
172399;водосток;199;172;264;0;0;0;0;;
108937;стяжки;394;340;525;4;4;5;1;;
2338;профиль потолочный;1711;1268;2256;2;2;14;0;;
59016;розетка;154;120;219;0;0;0;0;;
214523;декоративная штукатурка;785;590;1310;0;0;0;0;;
164846;карниз;2037;1605;2821;0;0;0;0;;
62069;герметик для дерева;451;327;796;0;0;0;0;;
473285;масло;964;756;1372;4;4;1;0;;
253118;плитка;5221;4226;6887;4;4;1;0;;
41581;переход;298;250;384;1;1;0;0;;
54917;kudo;425;335;618;6;5;0;0;;
411975;коллектор;352;279;587;0;0;0;0;;
115335;угол пвх;150;142;202;0;0;0;0;;
184065;светильники;194;160;272;0;0;0;0;;
463256;отвод;538;455;718;0;0;0;0;;
171756;шпаклевка цементная;231;174;399;0;0;0;0;;
456864;минвата;2261;1482;4231;36;37;6;2;;
61609;заглушка;170;166;191;0;0;0;0;;
